"year","model","scenario","scenario_geography","variable","unit","carbon_tax"
2015,"GCAM 5.3+ NGFS","B2DS","Global","Price|Carbon","US$2010/t CO2",0
2016,"GCAM 5.3+ NGFS","B2DS","Global","Price|Carbon","US$2010/t CO2",0
2017,"GCAM 5.3+ NGFS","B2DS","Global","Price|Carbon","US$2010/t CO2",0
2018,"GCAM 5.3+ NGFS","B2DS","Global","Price|Carbon","US$2010/t CO2",0
2019,"GCAM 5.3+ NGFS","B2DS","Global","Price|Carbon","US$2010/t CO2",0
2020,"GCAM 5.3+ NGFS","B2DS","Global","Price|Carbon","US$2010/t CO2",0
2021,"GCAM 5.3+ NGFS","B2DS","Global","Price|Carbon","US$2010/t CO2",0
2022,"GCAM 5.3+ NGFS","B2DS","Global","Price|Carbon","US$2010/t CO2",0
2023,"GCAM 5.3+ NGFS","B2DS","Global","Price|Carbon","US$2010/t CO2",0
2024,"GCAM 5.3+ NGFS","B2DS","Global","Price|Carbon","US$2010/t CO2",0
2025,"GCAM 5.3+ NGFS","B2DS","Global","Price|Carbon","US$2010/t CO2",40.4537785772727
2026,"GCAM 5.3+ NGFS","B2DS","Global","Price|Carbon","US$2010/t CO2",45.2296809801818
2027,"GCAM 5.3+ NGFS","B2DS","Global","Price|Carbon","US$2010/t CO2",50.0055833830909
2028,"GCAM 5.3+ NGFS","B2DS","Global","Price|Carbon","US$2010/t CO2",54.781485786
2029,"GCAM 5.3+ NGFS","B2DS","Global","Price|Carbon","US$2010/t CO2",59.5573881889091
2030,"GCAM 5.3+ NGFS","B2DS","Global","Price|Carbon","US$2010/t CO2",64.3332905918182
2031,"GCAM 5.3+ NGFS","B2DS","Global","Price|Carbon","US$2010/t CO2",69.7442160289091
2032,"GCAM 5.3+ NGFS","B2DS","Global","Price|Carbon","US$2010/t CO2",75.155141466
2033,"GCAM 5.3+ NGFS","B2DS","Global","Price|Carbon","US$2010/t CO2",80.5660669030909
2034,"GCAM 5.3+ NGFS","B2DS","Global","Price|Carbon","US$2010/t CO2",85.9769923401818
2035,"GCAM 5.3+ NGFS","B2DS","Global","Price|Carbon","US$2010/t CO2",91.3879177772727
2036,"GCAM 5.3+ NGFS","B2DS","Global","Price|Carbon","US$2010/t CO2",97.055994469091
2037,"GCAM 5.3+ NGFS","B2DS","Global","Price|Carbon","US$2010/t CO2",102.724071160909
2038,"GCAM 5.3+ NGFS","B2DS","Global","Price|Carbon","US$2010/t CO2",108.392147852727
2039,"GCAM 5.3+ NGFS","B2DS","Global","Price|Carbon","US$2010/t CO2",114.060224544546
2040,"GCAM 5.3+ NGFS","B2DS","Global","Price|Carbon","US$2010/t CO2",119.728301236364
2041,"GCAM 5.3+ NGFS","B2DS","Global","Price|Carbon","US$2010/t CO2",129.028742757818
2042,"GCAM 5.3+ NGFS","B2DS","Global","Price|Carbon","US$2010/t CO2",138.329184279273
2043,"GCAM 5.3+ NGFS","B2DS","Global","Price|Carbon","US$2010/t CO2",147.629625800727
2044,"GCAM 5.3+ NGFS","B2DS","Global","Price|Carbon","US$2010/t CO2",156.930067322182
2045,"GCAM 5.3+ NGFS","B2DS","Global","Price|Carbon","US$2010/t CO2",166.230508843636
